id,division_id,category_id,name,slug,short_desc,composition,sort_order,is_active,created_at,updated_at
2cdaeba1-537f-45aa-8dc8-4fe6ac7aacd9,b821c8d5-97b0-4262-9433-70e94c600449,5349b753-a731-46f6-b7f8-c07fa4f2d9e5,17) Daily Solo Syrup,17-daily-solo-syrup,,"Multivitamins, Multiminerals, Taurine, Co-enzyme Q10, Alpha Lipolic Acid, Curcumin, Probiotics",3,true,2026-03-05 15:46:11.35997+00,2026-03-05 15:46:11.35997+00
2d5d72a8-8f9a-47b7-bb93-5d5d51f8ed44,695899c3-d607-49f5-ae67-a545fac083b8,8a749f9e-c886-4478-8f3d-045f76e89809,WRNZ MINI NASAL DROPS,wrnz-mini-nasal-drops,,Oxymetazoline 0.025% w/v,38,true,2026-03-05 14:31:18.746233+00,2026-03-05 14:42:01.157317+00
2e5b394b-b062-4890-835a-9f21459f822a,88573051-9454-4d14-a106-256cdad84189,9577f52b-ab35-4158-9bcd-109cc32f5aba,7) TUBER FORTE,7-tuber-forte,,"Aceclofenac 100mg ,Paracetamol 325mg & Trypsin & Chymotrypsin (6;1)-1,50,000 IU Tablets",14,true,2026-03-05 15:47:37.814655+00,2026-03-05 15:47:37.814655+00
31fde031-74b1-4072-91b0-fe99f416aeb9,695899c3-d607-49f5-ae67-a545fac083b8,032641d2-cb89-4897-8527-0ae60066324f,COLONEZ DF DROP,colonez-df-drop,,Simethicone 40mg+Dill Oil 0.005ml+ Fennel oil 0.0007ml,5,true,2026-03-05 14:31:18.746233+00,2026-03-05 14:42:01.157317+00
325e4470-6707-43c8-bd71-8abd7d3db634,1a622c56-53e9-457a-af01-09cd550e3850,5349b753-a731-46f6-b7f8-c07fa4f2d9e5,DE SATURATE (200 ml),de-saturate-200-ml,,"Potassium Citrate 1100mg ,Magnesium Citrate 375 mg & Vitamin B6 20 mg / 5ml Oral Solution",5,true,2026-03-05 15:57:11.815034+00,2026-03-05 15:57:11.815034+00
3331a2b3-81fa-4258-8c72-df9d3d886a38,aaefb005-155a-4852-83b3-1adf2166dd41,032641d2-cb89-4897-8527-0ae60066324f,Rutivate (5ml),rutivate-5ml,,"Lactobacillus reuteri 1E1, 100 Million CFU/5 drops",7,true,2026-03-05 15:44:23.539503+00,2026-03-05 15:44:23.539503+00
3659f18f-1fc5-436f-8b5c-89e35de6e0be,6b8dbf86-0f10-4385-8617-65335659a18e,9577f52b-ab35-4158-9bcd-109cc32f5aba,JIOMAX D3,jiomax-d3,,"Calcitriol 0.25mcg,Methylcobalamin 1500mcg,Calcium Carbonate 500mg, Eicosapentaenoic Acid 180mg,Docosahexaenoic Acid 120mg,Folic Acid  400mcg  with Boron1.5mg Capsules",9,true,2026-03-05 16:27:53.986476+00,2026-03-05 16:27:53.986476+00
3682905a-1792-4fa4-8f8f-ad5f2557896a,695899c3-d607-49f5-ae67-a545fac083b8,032641d2-cb89-4897-8527-0ae60066324f,D3 EIGHT,d3-eight,,Cholecalciferol (Vitamin D3) 800 IU/ml,6,true,2026-03-05 14:31:18.746233+00,2026-03-05 14:42:01.157317+00
3a2321d2-2a81-422e-a721-e0d50ce6927a,6b8dbf86-0f10-4385-8617-65335659a18e,9577f52b-ab35-4158-9bcd-109cc32f5aba,ESMOFRESH,esmofresh,,Esomeprazole Gastro-Resistant Tablets IP 40 mg,7,true,2026-03-05 16:27:53.986476+00,2026-03-05 16:27:53.986476+00
3a38421b-032b-453b-acfc-91c30372a46e,695899c3-d607-49f5-ae67-a545fac083b8,f6e28438-c31e-400c-a93f-e584e989ce1b,Mimoza Shampoo,mimoza-shampoo,,,18,true,2026-03-05 14:31:18.746233+00,2026-03-05 14:42:01.157317+00
3aacc25e-03ed-480d-835c-f0fe94b6a274,88573051-9454-4d14-a106-256cdad84189,9577f52b-ab35-4158-9bcd-109cc32f5aba,"10) Daily Solo Tablets - Astaxanthin 2mg, Taurine 100mg, Curcuma Longa 50 mg, Liquorice 30mg, Cinnamon 30mg, Clove 30mg, Cranberry 25 mg, Green Tea 25 mg, Boswellia serrata",10-daily-solo-tablets-astaxanthin-2mg-taurine-100mg-curcuma-longa-50-mg-liquorice-30mg-cinnamon-30mg-clove-30mg-cranberry-25-mg-green-tea-25-mg-boswellia-serrata,,"25mg, Lycopene 2500 mcg , Multiminerals, Multivitamins",2,true,2026-03-05 15:47:37.814655+00,2026-03-05 15:47:37.814655+00
3d3426be-f4d8-4f0e-a970-f5ca9c05f9b9,b821c8d5-97b0-4262-9433-70e94c600449,5349b753-a731-46f6-b7f8-c07fa4f2d9e5,TUSNORM,tusnorm-2,,"XT -Acebrophylline 50mg, Guaiphenesin 50mg, Terbutaline 12.5mg/5ml syrup",13,true,2026-03-05 15:46:11.35997+00,2026-03-05 15:46:11.35997+00
